reg_id;Region;year;1;2;3;4;5;6;7;8;9;10;11;12
R68;Salzkammergut;5024,500961;2882,977476;3299,403048;3078,286691;5217,591199;6138,580282;8095,618612;7926,788686;7030,762084;5856,868017;5711,858106;2929,005937;4005,026849
R69;Schladming-Dachstein;8376,457005;9001,164959;12779,56573;7436,552026;3403,60781;4718,174097;9603,873085;13580,49591;14465,60899;5733,409875;4278,351409;1185,323353;7431,26718
R70;Seefeld;3809,085951;4244,589071;4320,998139;2831,884872;2014,708178;3343,572249;3385,708908;2542,60973;1624,261036;1506,30799;2338,778596;2381,777885;2237,647633
R71;Serfaus-Fiss-Ladis;7715,920515;6525,063247;6282,519573;6306,369166;6473,598456;209,1247357;2524,996593;7083,372296;6828,849298;2542,834206;2629,167057;100,6879014;5513,055165
R72;Silberregion Karwendel;530,7134993;1056,004086;996,0115166;366,2511862;380,1310021;489,8285356;412,0657634;539,0318749;485,5700219;531,0067494;461,7831884;294,853963;444,749748
R73;Sonstige;296,3827256;318,8847704;384,2355622;278,9905161;290,6228921;446,2957852;627,0291222;735,9397922;740,6296946;623,7914199;641,1336608;272,0035337;358,2654343
R74;St.Anton am Arlberg;5561,797817;4472,078886;4455,999746;4241,787413;3223,135933;436,9269813;654,3398699;2525,128318;3032,937496;780,9425459;414,4202649;359,7796235;2916,947239
R75;Stadt Salzburg;3379,163733;5779,133348;5515,70428;5035,493416;6115,629028;6528,923068;7709,662949;7667,588215;6740,939469;6184,94789;7450,086062;5066,933255;7858,363539
R76;Stubai Tirol;2927,458193;3027,637529;4322,670593;4143,773917;4842,900841;1157,247675;2361,045358;3667,039361;2350,554698;1592,334999;1788,712491;2222,606756;2365,854141
R77;Südburgenland;703,8929721;1783,181362;1914,731897;2035,831647;1717,539958;1554,073658;1469,053331;1562,175304;1863,842203;1295,452868;1446,222188;1759,513974;1400,153605
R78;Süd-Weststeiermark;1288,490525;503,7651967;528,4229878;793,0899523;1292,058186;1676,826239;2184,895803;2466,872583;2679,886833;2126,846742;1874,349227;729,5303564;500,6968933
R79;Tannheimer Tal;1617,303411;1345,924622;2025,378351;1667,618577;998,2066264;1853,034488;2351,298641;1875,915508;1240,92712;1031,150555;1510,532797;727,2940698;610,0731478
R80;Tennengau - Dachstein West;1645,75519;1440,646291;1887,112994;1571,296592;872,9660534;1268,316798;1885,982722;2270,063998;2427,528017;925,3678145;1178,918703;603,0465635;1014,788363
R81;Tennengebirge;642,7497443;763,5799897;991,1436039;783,1449337;542,8814773;651,3209956;810,661954;863,1619528;960,6119789;585,2848122;918,9488998;346,9978328;539,7649634
R82;Thermenland Steiermark - Oststeiermark;2340,386452;1888,737698;1624,852393;2264,103851;2230,03525;1687,17519;3066,661232;2069,739166;1765,202575;1520,507651;1987,045791;1242,588345;866,4010229
R83;Tirol West;558,6906407;801,6670367;1024,622693;872,1794255;405,0785753;267,7440648;368,4326582;560,354259;255,7733843;368,882098;224,6103077;232,6316135;456,1015896
R84;Tiroler Oberland;3143,292286;3007,690941;3600,953162;3779,554878;2978,78278;1261,925833;2422,731193;1907,783489;1778,034666;885,3151039;675,4868603;408,0851559;1909,627131
R85;Tiroler Zugspitz Arena;3425,484706;3076,626902;3552,787012;3275,002736;1808,649057;3040,140961;4473,691858;4777,031802;4799,771505;2894,04405;3030,350922;1051,476775;2575,821741
R86;Tux - Finkenberg;1902,914276;1430,532243;1997,494037;1718,919662;2775,147853;327,3685705;1372,835166;1596,267061;1746,207564;567,6684601;973,1495265;562,7948216;1352,816184
R87;Umgebungsorte Salzburg Stadt;837,2209997;823,8597841;1065,556494;1086,461534;939,26571;872,7406404;1452,685645;1950,616513;1144,297018;704,1809385;1023,706513;541,6012996;779,3096493
